Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,10uF,,cdn-cap-013,C1,,,403,,,
2,1,10uF,,cdn-cap-013,C2,,,406,,,
3,1,0.1uF,,cdn-cap-011,C3,,,210,,,
4,1,0.1uF,,cdn-cap-011,C4,,,213,,,
5,1,1uF,,cdn-cap-001,C5,,,219,,,
6,1,1uF,,cdn-cap-001,C6,,,222,,,
7,1,0.1uF,,cdn-cap-011,C7,,,237,,,
8,1,0.1uF,,cdn-cap-011,C8,,,240,,,
9,1,0.1uF,,cdn-cap-011,C9,,,243,,,
10,1,0.1uF,,cdn-cap-011,C10,,,246,,,
11,1,0.1uF,,cdn-cap-011,C11,,,249,,,
12,1,0.1uF,,cdn-cap-011,C12,,,252,,,
13,1,0.1uF,,cdn-cap-011,C13,,,257,,,
14,1,0.1uF,,cdn-cap-011,C14,,,260,,,
15,1,22pF,,cdn-cap-016,C15,,,289,,,
16,1,22pF,,cdn-cap-016,C16,,,292,,,
17,1,0.1uF,,cdn-cap-011,C17,,,335,,,
18,1,0.1uF,,cdn-cap-011,C18,,,1411,,,
19,1,0.1uF,,cdn-cap-011,C19,,,1422,,,
20,1,0.1uF,,cdn-cap-011,C20,,,1426,,,
21,1,0.1uF,,cdn-cap-011,C21,,,1435,,,
22,1,0.1uF,,cdn-cap-011,C22,,,1449,,,
23,1,0.1uF,,cdn-cap-011,C23,,,1453,,,
24,1,0.1uF,,cdn-cap-011,C24,,,1462,,,
25,1,0.1uF,,cdn-cap-011,C25,,,1468,,,
26,1,0.1uF,,cdn-cap-011,C26,,,1481,,,
27,1,0.1uF,,cdn-cap-011,C27,,,1484,,,
28,1,0.1uF,,cdn-cap-011,C28,,,1507,,,
29,1,0.1uF,,cdn-cap-011,C29,,,1465,,,
30,1,0.1uF,,cdn-cap-011,C30,,,1540,,,
31,1,0.1uF,,cdn-cap-011,C31,,,1529,,,
32,1,0.1uF,,cdn-cap-011,C32,,,1556,,,
33,1,0.1uF,,cdn-cap-011,C33,,,1537,,,
34,1,0.1uF,,cdn-cap-011,C34,,,2318,,,
35,1,Diode,,cdn-diode-006,D1,,,1601,,,
36,1,Diode,,cdn-diode-006,D2,,,1607,,,
37,1,Diode,,cdn-diode-006,D3,,,1613,,,
38,1,Diode,,cdn-diode-006,D4,,,1610,,,
39,1,Diode,,cdn-diode-006,D5,,,1616,,,
40,1,Diode,,cdn-diode-006,D6,,,1619,,,
41,1,Diode,,cdn-diode-006,D7,,,1622,,,
42,1,Diode,,cdn-diode-006,D8,,,1625,,,
43,1,Diode,,cdn-diode-006,D9,,,1628,,,
44,1,Diode,,cdn-diode-006,D10,,,1631,,,
45,1,Diode,,cdn-diode-006,D11,,,1634,,,
46,1,Diode,,cdn-diode-006,D12,,,1705,,,
47,1,Diode,,cdn-diode-006,D13,,,1687,,,
48,1,Diode,,cdn-diode-006,D14,,,1681,,,
49,1,Diode,,cdn-diode-006,D15,,,1693,,,
50,1,Diode,,cdn-diode-006,D16,,,1702,,,
51,1,Diode,,cdn-diode-006,D17,,,1675,,,
52,1,Diode,,cdn-diode-006,D18,,,1690,,,
53,1,Diode,,cdn-diode-006,D19,,,1699,,,
54,1,Diode,,cdn-diode-006,D20,,,1678,,,
55,1,Diode,,cdn-diode-006,D21,,,1684,,,
56,1,Diode,,cdn-diode-006,D22,,,1696,,,
57,1,Diode,,cdn-diode-006,D23,,,1732,,,
58,1,Diode,,cdn-diode-006,D24,,,1708,,,
59,1,Diode,,cdn-diode-006,D25,,,1714,,,
60,1,Diode,,cdn-diode-006,D26,,,1729,,,
61,1,Diode,,cdn-diode-006,D27,,,1720,,,
62,1,Diode,,cdn-diode-006,D28,,,1717,,,
63,1,Diode,,cdn-diode-006,D29,,,1711,,,
64,1,Diode,,cdn-diode-006,D30,,,1726,,,
65,1,Diode,,cdn-diode-006,D31,,,1723,,,
66,1,Diode,,cdn-diode-006,D32,,,1738,,,
67,1,Diode,,cdn-diode-006,D33,,,1735,,,
68,1,Diode,,cdn-diode-006,D34,,,1771,,,
69,1,Diode,,cdn-diode-006,D35,,,1741,,,
70,1,Diode,,cdn-diode-006,D36,,,1747,,,
71,1,Diode,,cdn-diode-006,D37,,,1768,,,
72,1,Diode,,cdn-diode-006,D38,,,1756,,,
73,1,Diode,,cdn-diode-006,D39,,,1744,,,
74,1,Diode,,cdn-diode-006,D40,,,1750,,,
75,1,Diode,,cdn-diode-006,D41,,,1762,,,
76,1,Diode,,cdn-diode-006,D42,,,1765,,,
77,1,Diode,,cdn-diode-006,D43,,,1753,,,
78,1,Diode,,cdn-diode-006,D44,,,1759,,,
79,1,Diode,,cdn-diode-006,D45,,,1786,,,
80,1,Diode,,cdn-diode-006,D46,,,1801,,,
81,1,Diode,,cdn-diode-006,D47,,,1780,,,
82,1,Diode,,cdn-diode-006,D48,,,1774,,,
83,1,Diode,,cdn-diode-006,D49,,,1777,,,
84,1,Diode,,cdn-diode-006,D50,,,1789,,,
85,1,Diode,,cdn-diode-006,D51,,,1798,,,
86,1,Diode,,cdn-diode-006,D52,,,1792,,,
87,1,Diode,,cdn-diode-006,D53,,,1783,,,
88,1,Diode,,cdn-diode-006,D54,,,1804,,,
89,1,Diode,,cdn-diode-006,D55,,,1795,,,
90,1,Diode,,cdn-diode-006,D56,,,1810,,,
91,1,Diode,,cdn-diode-006,D57,,,1807,,,
92,1,Diode,,cdn-diode-006,D58,,,1822,,,
93,1,Diode,,cdn-diode-006,D59,,,1831,,,
94,1,Diode,,cdn-diode-006,D60,,,1816,,,
95,1,Diode,,cdn-diode-006,D61,,,2493,,,
96,1,Diode,,cdn-diode-006,D62,,,1819,,,
97,1,Diode,,cdn-diode-006,D63,,,1843,,,
98,1,Diode,,cdn-diode-006,D64,,,1846,,,
99,1,Diode,,cdn-diode-006,D65,,,1849,,,
100,1,Diode,,cdn-diode-006,D66,,,1852,,,
101,1,Diode,,cdn-diode-006,D67,,,1873,,,
